Toni Soler,El tumor,https://www.epublibre.org/libro/detalle/52373
Allen Ginsberg,Udol i altres poemes,https://www.epublibre.org/libro/detalle/52372
Jordi Sierra i Fabra,Camps de maduixes,https://www.epublibre.org/libro/detalle/52370
Jordi Sierra i Fabra,L’ombra del sabre,https://www.epublibre.org/libro/detalle/52371
Manuel de Pedrolo,Aquesta matinada i potser per sempre,https://www.epublibre.org/libro/detalle/52368
Evelio Rosero,Teresita cantaba,https://www.epublibre.org/libro/detalle/52369
Evelio Rosero,La duenda,https://www.epublibre.org/libro/detalle/52367
Luis Zarraluqui,Con la venia y sin ella,https://www.epublibre.org/libro/detalle/52362
Hannah Kent,Los Buenos,https://www.epublibre.org/libro/detalle/52359
Kevin J. Anderson,La Espada Oscura,https://www.epublibre.org/libro/detalle/52049
David Mamet,Dirigir cine,https://www.epublibre.org/libro/detalle/51977
Steven Erikson,Rejoice a Knife to the Heart,https://www.epublibre.org/libro/detalle/51897
Ian C. Esslemont,Kellanved’s Reach,https://www.epublibre.org/libro/detalle/51898
Lorenzo Silva,Ahí fuera,https://www.epublibre.org/libro/detalle/52311
John Irving,Libertad para los osos,https://www.epublibre.org/libro/detalle/52131
Belén Rubiano,Rialto 11. Naufragio y pecios de una librería,https://www.epublibre.org/libro/detalle/52292
Camilla Läckberg,Una jaula de oro,https://www.epublibre.org/libro/detalle/52295
William Somerset Maugham,El collar de perlas y otras novelas cortas,https://www.epublibre.org/libro/detalle/49395
James S. A. Corey,Tiamat’s Wrath,https://www.epublibre.org/libro/detalle/51895
